date,total_new_hospitalizations,change_in_daily_icu_admissions,change_in_daily_intubations,change_in_daily_discharge,number_of_deaths,percent_TOTAL_hospitalized_in_nyc,percent_TOTAL_hospitalized_in_long_island,percent_TOTAL_hospitalized_in_westchester_and_rockland,percent_TOTAL_hospitalized_in_rest_NYS,current_icu,current_intubation,cum_discharge,current_hospitalized
03/16/20,91.0,224.0,,,,71.0,17.0,8.0,4.0,0.0,0.0,0.0,236.0
03/17/20,170.0,46.0,43.0,41.0,,70.0,17.0,8.0,5.0,224.0,0.0,0.0,327.0
03/18/20,121.0,33.0,27.0,123.0,,70.0,17.0,8.0,5.0,270.0,43.0,41.0,497.0
03/19/20,425.0,104.0,93.0,78.0,,73.0,16.0,7.0,4.0,303.0,70.0,164.0,618.0
03/20/20,364.0,77.0,69.0,102.0,,74.0,16.0,6.0,4.0,407.0,163.0,242.0,1043.0
03/21/20,637.0,143.0,116.0,150.0,,75.0,15.0,6.0,4.0,484.0,232.0,344.0,1407.0
03/22/20,586.0,140.0,124.0,145.0,,74.0,16.0,6.0,3.0,627.0,348.0,494.0,2044.0
03/23/20,714.0,135.0,121.0,150.0,,74.0,17.0,6.0,4.0,767.0,472.0,639.0,2630.0
03/24/20,736.0,215.0,192.0,278.0,,73.0,17.0,5.0,4.0,902.0,593.0,789.0,3344.0
03/25/20,1248.0,192.0,222.0,450.0,,73.0,18.0,5.0,4.0,1117.0,785.0,1067.0,4080.0
03/26/20,1154.0,374.0,290.0,528.0,,73.0,17.0,6.0,4.0,1309.0,1007.0,1517.0,5328.0
03/27/20,847.0,172.0,200.0,681.0,,72.0,18.0,6.0,4.0,1683.0,1297.0,2045.0,6482.0
03/28/20,1175.0,282.0,165.0,846.0,,71.0,18.0,6.0,5.0,1855.0,1497.0,2726.0,7329.0
03/29/20,1014.0,315.0,303.0,632.0,,70.0,19.0,7.0,5.0,2137.0,1662.0,3572.0,8504.0
03/30/20,1412.0,258.0,295.0,771.0,,70.0,18.0,7.0,5.0,2452.0,1965.0,4204.0,9518.0
03/31/20,1297.0,312.0,291.0,1167.0,,69.0,19.0,7.0,5.0,2710.0,2260.0,4975.0,10930.0
04/01/20,1157.0,374.0,313.0,1292.0,,68.0,20.0,7.0,5.0,3022.0,2551.0,6142.0,12227.0
04/02/20,1427.0,335.0,260.0,1452.0,562.0,65.0,22.0,7.0,5.0,3396.0,2864.0,7434.0,13384.0
04/03/20,1095.0,395.0,351.0,1592.0,630.0,65.0,22.0,7.0,5.0,3731.0,3124.0,8886.0,14811.0
04/04/20,573.0,250.0,316.0,1709.0,594.0,65.0,22.0,7.0,5.0,4126.0,3475.0,10478.0,15906.0
04/05/20,358.0,128.0,132.0,1179.0,599.0,,,,,4376.0,3791.0,12187.0,16479.0
04/06/20,656.0,89.0,69.0,1224.0,731.0,,,,,4504.0,3923.0,13366.0,16837.0
04/07/20,,,,,,,,,,4593.0,3992.0,14590.0,17493.0
